Mois,Adultes,Enfants (6-18) - Etudiant - Seniors,Enfants (-6 ans) gratuit,A partir de 10 personnes,Entree E&E - Ecoles Fondamentales,Entree E&E - Lycee,Entree E&E - Ecoles Internationales,Entree E&E - Ecoles privees,Maison Relais ,Entree gratuites,Entree Adulte Luxembourg Card ,Entree Enfants Luxembourg Card,Entrees anniversaire,Billets Sponsore Adulte,Billets Sponsore Enfants (- 6 ans)  Gratuit,Billets Sponsore Enfants (6-18 ans ) Etudiant-Seniors,NOMBRE TOTAL DE VISITEURS
oct-17,631,619,180,63,667,0,0,0,44,88,4,4,0,52,1,3,2290
nov-17,495,537,170,153,1069,53,0,0,149,8,6,0,0,4,3,0,2670
dec-17,475,556,161,123,893,180,0,0,223,18,11,1,0,7,3,1,2652
janv-18,477,455,159,82,722,403,126,0,77,22,4,4,0,4,0,5,2540
fevr-18,577,620,204,180,608,312,74,0,488,14,13,5,0,5,0,0,3100
mars-18,572,602,271,268,835,591,22,175,65,62,4,5,41,11,0,9,3533
avr-18,591,682,173,68,317,746,45,133,344,41,13,5,0,4,0,0,3172
mai-18,750,694,239,309,922,708,0,59,233,28,28,19,0,5,5,0,4002
juin-18,131,143,52,177,1413,587,0,162,58,25,3,2,0,12,0,0,2765
juil-18,250,308,93,472,551,498,0,61,627,222,23,14,0,0,0,0,3119
aout-18,525,744,173,206,0,0,0,0,528,32,37,34,0,4,2,2,2285
sept-18,193,212,60,391,184,0,0,0,62,38,14,9,0,1,0,1,1165
oct-18,387,483,126,410,239,44,0,0,188,89,17,10,15,8,2,1,2034
nov-18,584,576,174,198,578,140,0,171,136,141,13,5,54,3,0,3,2776
dec-18,476,451,181,186,562,375,0,52,9,31,20,14,13,9,0,0,2379
janv-19,540,561,203,168,791,345,0,20,38,37,7,3,0,1,6,0,2720
fevr-19,661,668,295,211,701,216,165,37,375,7,63,12,6,5,1,4,3437
mars-19,535,476,207,281,686,497,0,92,183,44,6,0,0,5,0,1,3013
avr-19,702,682,239,222,736,301,0,53,452,38,27,22,12,13,2,1,3512
mai-19,710,585,294,328,633,682,22,133,99,34,17,12,0,9,2,2,3829
juin-19,201,187,76,245,1333,171,17,126,11,15,12,7,0,2,0,2,2524
juil-19,426,509,138,281,682,272,0,72,710,32,39,30,0,3,0,2,3219
aout-19,818,1043,284,161,0,0,0,0,578,27,68,52,0,3,0,2,3032
sept-19,303,291,92,338,0,0,82,0,194,47,1,3,0,0,0,0,1351
oct-19,795,857,255,90,1097,58,0,57,195,121,17,16,0,7,0,0,3792
nov-19,616,439,249,32,196,0,132,0,20,4,4,4,0,1,0,0,1792
